Категория,Вопросы,Ответ,Квартал
Event,"Добрый день! Очень нравятся турниры по компьютерным играм, хотелось бы чтобы провели турнир по Валоранту","Провели опрос, большинство было против",Q3 2025
Даурен ,Какое будущее ждет Kazdream Group? Каким вы его видите через 5 лет?,"Прошу мне доверять. Позже всё расскажу, когда протестирую гипотезы. ",Q3 2025
Даурен ,"Здравствуйте! Можете пожалуйста дать понимание тому, что происходит с каздрим групом? Два проекта, людей оттуда уже забрали и продолжают забирать в 7generation. Его закроют или что с ним будет? Спасибо заранее за ответ!","Происходит слияние 7generation и Kazdream Group. Потому что считаю так команда и проекты будут работать эффективно. Так как было дублирование продуктов и это было неэффективно. Это не поглощение, а объединение. ",Q3 2025
Даурен,"Добрый день. Выражаю Вам благодарность за заботу о сотрудниках экосистемы БФЕ. Возможно нами иногда обесценивается или принимается за привычное такие условия комфорта или плюшки (к хорошему быстро привыкаешь), но в очередной раз убеждаюсь, что у нас компания одна из лучших. Раньше когда друзья которые работали в то время в Каздрим говорили о том, что им компания дарит худи или футболки на дни рождения очень удивлялась. Теперь и сама стало частью компании)  ","Спасибо, очень приятно!",Q3 2025
Event,"Здравствуйте! как насчет того, чтобы добавить день казахского языка, когда всем офисом дружно должны раз в неделю общаться на казахском языке. Считаю что мы должны развивать свой родной язык, конечно, если что-то непонятно, то можно уточнить на русском или другими словами, но грустно видеть, что половина людей не знают и даже не пытаются выучить свой язык( ",Сделаем,Q3 2025
Даурен,"Почему Куандыкова Айзада не здоровается, ведет себя надменно? В 7G у нас дружелюбный коллектив, такие высокомерные особы портят атмосферу.","У нас нет обязательства здороваться, это лишь рекомендация. Хорошо знаю Айзаду, считаю некорректно называть ее надменной",Q3 2025
Даурен,"Даурен, здравствуйте! Во многих крупных компаниях уже практикуется сокращённый рабочий день по пятницам. Например, при стандартном графике с 9:00 до 18:00, по пятницам сотрудники работают до 17:00. Можно ли рассмотреть во всех наших компаниях такой график? Это может позитивно сказаться на мотивации сотрудников и рабочем настрое в конце недели",Касаемо графика вопрос оставляю самим командам,Q3 2025
Event,"Давайте устроим большой внутренний BFE.HACKATON!
Может даже как то сделать так чтобы в командах были люди из разных компаний и команд. Думаю, данное событие даст новый заряд и энергию, раскроются новые таланты",Будет после орг структурных изменений,Q3 2025
Даурен,"Предлагаю с этого выпуска Спанч-Боба, чтобы кто-то еще был со-ведущим, который бы зачитывал вопросы/предложения, а то у тебя не всегда получается сразу прочесть и анализировать предложение, т.к. некоторые пожелания весьма объемные по тексту.",Не будет,Q3 2025
Даурен,Один из директоров на собрании Reboot сказал что когда я беру человека уже думаю как я его буду убирать. Сходиться ли данное высказывание с ценностями компании что Главное-Люди ?,"Немного в другом контексте фраза. Для Думана Сембаева огромный стресс увольнять сотрудника и прокручивание в голове увольнение сотрудника, это связано с тем, что нужно очень вдумчиво нанимать людей",Q3 2025
Event,"Добрый день Даурен.
В каких-то прошлых вопросах Спанч Боба о вводе дримкоинов было озвучено, что отныне мерч экосистемы Kazdream/BFE можно будет получить только за DCN.
У компаний же есть еще и свой мерч (7G, Kompra, MSSP и др.). Когда будет возможно купить мерч своей компании за деньги, т.к. других возможности его получить пока не было заявлено?","Мерч от каждой компании уникальный, его дарят только на дни рождения и купить нельзя. Но в Dreamshop можно нанести логотип вашей компании на любой мерч",Q3 2025
АХО,"Здравствуйте,
Думаю многие слышали, что микропластик находят в человеческих легких, мозгах, печени и в других органах. Я стараюсь минимизировать контакт с пластиком и пользуюсь стеклянными контейнерами и тд, но я заметила что наши апайки режут лимон на пластиковых досках. Предлагаю заменить все доски из наших 3 кухонь на деревянные, чтобы минимизировать потребление микропластика. Ведь мы каждый день пользуемся лимоном с кусочками миркопластика",Закупили,Q3 2025
АХО,"Хорошо бы в переговорках предусмотреть дополнительные небольшие стульчики (табуретки) в переговорках для дополнительных людей, а то часто бывает, что люди стреляют стульчики по окрестным кабинетам или столовым.",Возьмем в работу,Q3 2025
СБ,"Даурен, обозначьте, пожалуйста, правило насчёт курения на общих балконах между этажами офиса. Разрешено или нет? Курящие сотрудники считают, что разрешено, и сейчас на балконах курят все, включая руководство, и обычные сигареты, и электронки. На всех этажах. Соответственно, некурящим использовать балконы для перемещения по этажам невозможно, окна открывать для проветривания невозможно, тк с балконов затягивает в кабинеты. Никакие просьбы не помогают. Пожалуйста, рассудите.",Поставили камеры. Будем наказывать,Q3 2025
СБ,"Даурен, сорри, что пишу сюда, но коллеги почему-то по-другому не понимают. ПЕРЕСТАНЬТЕ КУРИТЬ НА БАЛКОНАХ!!! что за неуважение к окружающим??? без разницы на каком вы этаже курите, провоняли все лестницы, дым идет в окна. пройдешь через балкон - одежда воняет. у себя дома курите где хотите, никто не обязан этим дышать! причем часто курят именно руководители, конечно, остальные сотрудники будут думать, что им тоже можно. три лифта в доступе, так трудно спуститься вниз?",Поставили камеры. Будем наказывать,Q3 2025
СБ,"Здравствуйте, Даурен! Можно ли как-то отрегулировать ситуацию с курением на балконе. Каждый раз когда кто-то курит, весь дым сигаретный идет в кабинеты, которые находятся рядом и там просто невозможно сидеть. Понимаю, что можно просто закрыть окно, но зачастую в кабинете становится душно и нужен свежий воздух, поэтому его приходится открывать. ",Поставили камеры. Будем наказывать,Q3 2025
СБ,"Привет.

Достал запах дыма от курения, постоянно пахнет как окно откроешь. 
Артур ",Поставили камеры. Будем наказывать,Q3 2025
СБ,"добрый день Даурен! на балконах курят каждый час  , запах идет в помещение , вся команда страдает от этого ",Поставили камеры. Будем наказывать,Q3 2025
СБ,"Здравствуйте Даурен! Мое обращение лично к вам как руководителю всего холдинга и ваше слово закон в нашей компании. Прошу вас обратить внимание на курение на балконах. Пожалуйста, запретите это дело строго на строго! У нас большая команда и когда воздуха не хватает в кабинете, освежаем кабинет естественно открытием окон. НО сигаретный дым, который валит из окон не позволяет этого сделать. Сигаретный дым наполняя кабинет, пропитывается в одежду, волосы.... и самое главное мы этим дышим. Оч прошу обратить на это внимание не только вас, а всех коллег. С верой надеждой и любовью ко всем! Спасибо за понимание!",Поставили камеры. Будем наказывать,Q3 2025
Комплаенс,"здравствуйте, Даурен! подскажите, почему руководство компаний и hr-дженералисты постоянно отмалчиваются, когда возникают вопросы, касающиеся корпоративной этики? сейчас остро встал вопрос о курении на балконах - руководители и эйчары молчат, никаких комментариев. как-то давно в офисе на нурсае была дискуссия о том, можно ли в оформлении кабинетов использовать символику, демонстрирующую политическую позицию. тогда тоже все, кто мог бы поставить точку в обсуждении, просто заигнорили его. и так постоянно! кто ответственный за такие вопросы? кого тегать в чатах? ну не вас же. или надо ждать до спанчбоба?","Написали кодекс корпоративной этики. Будем следить за тем, чтоб все его соблюдали",Q3 2025
Даурен ,"Хочу поднять очень критичный вопрос про безопасность и защиту персональных данных. Я хочу, чтобы к персональным данным сотрудников относились бережно: Во-первых, прошу перестать использовать персональные данные сотрудников в качестве тестовых данных. Некоторые аккаунты сотрудников протегированы как девианты. Базы хоть и тестовые, а данные реальные. Все, что угодно может случиться с этими данными, а последствия могут оказаться серьезными. Во-вторых, прошу НЕ хранить персональные данные сотрудников в открытых системах, как notion, у которых бывали утечки данных. При необходимости могу представить конкретные детали, если скажете к кому обратиться. ","Обращаться можно по таким вопросам к Аману. По поводу использовать данные сотрудника, даже для тестово можно только с разрешения самого сотрудника. Перейдем на корпоративную систему ",Q3 2025
Event,Поставить массажные кресла где то на этаже,Будут скидки в спа центр за дримкойны,Q3 2025
Event,Предлагаю купить массажные кресла. ,Будут скидки в спа центр за дримкойны,Q3 2025
АХО,"Хотел бы предложить рассмотреть возможность предоставления сотрудникам офисных тумбочек для рабочих мест. Это позволит более эффективно организовать пространство, а также удобно хранить личные вещи и рабочие материалы

Это поможет поддерживать порядок на рабочем столе, обеспечат легкий доступ к необходимым документам и канцелярским принадлежностям, а также создадут более комфортные условия для работы.

Надеюсь, что данная инициатива найдет отклик, и мы сможем сделать наши рабочие места еще более удобными и функциональными.

Спасибо за внимание!",Подайте заявку в битриксе,Q3 2025
АХО,на 10 каша заканчивается уже в 9:20,на 10 этаже в три захода,Q3 2025
АХО,"можно ромашку тоже, а не только чай и кофе?",Закупим,Q3 2025
АХО,"Хотелось бы предложить рассмотреть возможность добавления в ассортимент напитков горячего шоколада и какао. Эти напитки стали бы отличным дополнением к кофе и чаю.

Горячий шоколад и какао пользуются большой популярностью, создавая ощущение уюта и поднимая настроение. Они могли бы стать приятным вариантом для сотрудников во время перерывов, способствуя комфортному отдыху и восстановлению сил.

Надеюсь, что эта инициатива будет рассмотрена положительно.

Спасибо за внимание!",Закупили,Q3 2025
АХО,"Здравствуйте! Планируется ли возможность появления какао Nesquik на нашей кухне, на 9 этаже? :)",Закупили,Q3 2025
АХО,"Можно ли наклеить на прозрачную дверь одиночной капсулы на каждом этаже матовую пленку, но нижние 50 сантиметров оставить открытыми. Чтобы не сидеть как в аквариуме, но если кому-то станет плохо и он упадет, то помочь",Заклеили,Q3 2025
Event,В других ведущих компаниях страны предусмотрена компенсация обедов - примерно 2000 тенге в день добавляются к зарплате. Есть ли у нас в планах ввести такую же систему?,"Не будет. Но, рассмотрим коллаборации с крупными общепитами",Q3 2025
Event ,Давайте добавим хорошие рюкзаки для ноутбуков в магазин. Чтобы их можно было купить за дримкоины. Старый бывает рвётся в самый не подходящий момент.,Закупили,Q3 2025
Даурен ,"HR generalist KDSS вместо того чтобы способствовать здоровой и поддерживающей атмосфере в команде, наоборот, часто становится источником сплетен и напряжения между коллегами. Возможно, стоит обратить внимание на такой подход с точки зрения профессиональной роли HR.","Нет подтверждений. Если есть факт, напишите Даурена",Q3 2025
Даурен ,"Добрый день Даурен! Стоит острый вопрос у нас в холдинге, касающийся болеющих людей. Если кто то не знает, а я надеюсь что все знают - человек начинает болеть от того, что его кто то заразил, а не от того что на него подул ветерок или где то он переохладился.
В последнее время я все чаще замечаю как многие ходят и кашляют и чихают в офисе, тем самым заражают своих коллег по цепочке. Мы IT компания и вроде как можем позволить своим сотрудникам работать на удаленке в критичных ситуациях, но почему то все равно все ходят в офис.
Прошу вас поднять этот серьезный вопрос, так как у нас действительно проблема с болеющими, а больничные никто открывать не хочет. Спасибо :)","Согласен. Если болеешь, езжай домой и выздоравливай",Q3 2025
HR ,"Здравствуйте! Все конечно классно, но когда 7G перестанут занимать гейм-рум для совещаний?) ","Поговорил, больше не будут",Q3 2025
Event,"Очень мне кажется вышло некорректно со стороны Команды, ответственной за летний тимбилдинг менять дату. Еще в начале года были утверждены другие даты, все уже все распланировали, а по факту теперь людям нужно либо отказываться от отпуска, или отказываться от тимбилдинга, потому что билеты уже куплены и никто не вернет за них деньги. Многие купили путевки на эти даты, потому что ориентировались на утвержденные даты (которые между прочим официально были всем скинуты). Как то неправильно все это и несправедливо ","К сожалению, перенести дату тимбилдинга не получилось мы сдвинули ее, так как гольф-клуб был свободен только 25 числа и позже",Q3 2025
Event,"Очень жаль, что перенесли дату проведения Nomad Fest. Заранее строили планы, ориентируясь на ранее объявленую дату — 18 июля, и теперь, к сожалению, не смогу принять участие в одном из самых ожидаемых событий компании.","К сожалению, перенести дату тимбилдинга не получилось мы сдвинули ее, так как гольф-клуб был свободен только 25 числа и позже",Q3 2025
Event,Почему перенесли дату летнего тимбилдинга с 18го на 25ое? 😢Можно ли перенести ее обратно?,"К сожалению, перенести дату тимбилдинга не получилось мы сдвинули ее, так как гольф-клуб был свободен только 25 числа и позже",Q3 2025
АХО,"Холодно в кабинетах, из-за этого многие сотрудники заболевают. Прошу сделать температуру в кабинетах комфортной, это очень мешает спокойно работать😭 сама болею уже 3 раз за сезон",Неактуален вопрос,Q3 2025
АХО,"Очень холодно в офисе, можно как-то решить вопрос с отоплением. ",Неактуален вопрос,Q3 2025
Даурен ,давайте поменяем цвета салфеток на красные,не будем,Q3 2025
Даурен ,"предлагаю нанять швейцара, устал каждый раз дверь открывать",не будем,Q3 2025
АХО,"Даурен, здравствуйте!
Вклад нашей команды в развитие компании, как Вы знаете, требует оперативного решения вопросов. Для этого многие сотрудники активно используют личные ноутбуки. Предлагаю вновь рассмотреть возможность компенсации за использование личного оборудования, что позволит нам поддерживать высокий темп работы и эффективнее способствовать развитию компании.
Также, для повышения мотивации и восстановления сил, прошу рассмотреть возможность выплаты небольшой суммы на отпускные расходы. Опыт других успешных организаций показывает, что такая мера положительно влияет на продуктивность и лояльность сотрудников.",с 1 сентября будет,Q3 2025
Битрикс,"Здравствуйте!

Уже много лет одна проблема - в битриксе не обновляют фото и должности.","Исправим это, автоматизируем",Q3 2025
Даурен ,"Теряете действительно хороших и полезных людей для бизнеса из-за пары человек из топ менеджмента, который окружает вас. Никакой компетентности, никаких ценностей",нет точности в вопросе,Q3 2025
Даурен ,Здравствуйте! Как у вас дела? Получается летом так же придерживаться режима 22:00 сон и подъем в 5 утра? ,К сожалению нет,Q3 2025
АХО,"Здравствуйте, Даурен! 
Спасибо за все плюшки, которые есть в компании. Очень радует возможность учить английский язык на работе (прям топ, не везде такое есть. Был на другом, но уровень преподавания тут намного выше. Отличный набор). Но, недавно на 11 этаже кабинет поменяли и стало неудобно заниматься, т.к. комната маленькая, там с трудом помещается 5 человек и совсем не развернуться, плюс быстро становится душно. И шум сверху мешает уловить процесс.  Можно ли вернуть старый кабинет на 11/10 или рассмотреть другой , потому что английский учить хочется, но сейчас это неудобно. Спасибо!",Пока нет других кабинетов,Q3 2025
АХО,"Кабинет английского языка на 11 этаже маленький, 6 человек нормально не помещаются.",Пока нет других кабинетов,Q3 2025
Даурен ,"Пользуясь случаем, хочу во всеуслышание поблагодарить наших преподавателей английского языка и в частности Аяну за прекрасно организованные, веселые мероприятия и за классные, структурированные, полезные уроки. Ловлю себя на мысли, что кукуха, возможно, еще не улетела только благодаря урокам с Аяной. Thank you so much, our dear teacher!","Спасибо, Аяна!) ",Q3 2025
Event ,"Я уже говорил об этом, но хочу просто напомнить чтобы на летнем тимбилдинге было побольше водяных пистолетов) Всем пис","Водных пистолетов было больше, чем в прошлом году,  при желании можно взять свои",Q3 2025
Даурен ,Что нужно делать на работе или сделать для работы чтоб получилось взять собственную квартиру.,"Повышать эффективность, развивать таланты, откладывать",Q3 2025
Event ,"В холдинге очень много различных мероприятий проходят и за это отдельная благодарность. Вопрос, есть ли мероприятия, куда можно было бы приходить с супругой? Поднимался ли до этого этот вопрос? А то супруги завидуют своим                  мужьям/женам - сотрудникам холдинга, но сами не имеют возможности поучаствовать. В целях укрепления семьи, было бы очень на пользу! )))","Нет, все активности для сотрудников",Q3 2025
Даурен ,"Почему сотрудники некоторых компаний должны делать работу за другие компании? Двойная, а то и тройная работа за зарплату одного специалиста
Могу понять, если в компании не хватает рабочих рук, но будто бы это уже перебор","Согласен, но кто это делает, не непонятно. Напишите",Q3 2025
АХО,"Здравствуйте!
Хотела бы поделиться обратной связью по поводу условий в туалетах.

К сожалению, текущая ситуация оставляет желать лучшего:
– помещение совершенно не изолировано, слышимость очень высокая;
– запах быстро распространяется по всему пространству, возможно, вытяжка работает неэффективно или вовсе отсутствует;
– отсутствует ощущение уединения и базового комфорта.

Также хотела бы попросить на будущее при организации тимбилдингов учитывать вопрос санитарных условий с канализацией — биотуалеты без канализации создают значительный дискомфорт. Считаю что это не соответствует имиджу IT холдинга, коим мы себя позиционируем.

На предыдущих местах работы с этим никогда не было проблем, потому что это всё же базовый минимум, а не роскошный максимум. 

Буду признательна, если этот вопрос получится решить. Спасибо!",Из-за формата мероприятия на открытом воздухе подключение к канализации невозможно.,Q3 2025
Даурен,"никто не любит нотации, но иногда без них никак. Это не жалоба, а скорее просьба от тех, кто тоже живёт рядом с вами и хочет, чтобы общее пространство было комфортным для всех.
на 9 этаже вижу неприятные моменты:
– В женском туалете часто стоит неприятный запах (ощущение что никто не знает про освежитель воздуха), бумага почему-то не попадает в урну и оказывается где угодно.
– Мокрые полы вокруг раковины как будто кто-то умывался с душем в руках.
– На кухне бывает, что продукты (например, мёд/молоко) проливаются на стол, но никто за собой не вытирает. Уже молчу про то, что молоко должно храниться в холодильнике,
Понимаем, бывают спешка, усталость, невнимательность. Но всё же давайте уважать друг друга. Мы все взрослые, адекватные люди, живём в одном пространстве и хотим чувствовать себя в нём комфортно. Ведь от таких мелочей зависит общее настроение.","В туалетах стараемся сделать комфортные условия. еще раз поднимем этот вопрос. Но, также нужно убирать за собой",Q3 2025
АХО,"Добрый день всем! Очень рада работать в BFE🫶🏻 Коллеги классные, работа нравится, плюшки нравятся, но жара в кабинетах изматывает, не один день лета нормально эти кондеры не работали, в коридорах хорошо, но в кабинетах жараааа, возвращаешься домой обессиленным, потным и измотанным… ",Берем в работу,Q3 2025
АХО,"Добрый, душный день
Даурен, помогите решить вопрос с кондиционерами на солнечной стороне. За окном 35 градусов. Каждый раз вызываем администрацию БЦ, они приходят, просто тыкают этот пульт у стены. И молча уходят. Уже второе лето в этом крыле невозможно работать, это влияет на работоспособность. Болит голова от нехватки воздуха ко второй половине дня. Сидишь как в сауне. ",Берем в работу,Q3 2025
Event ,"Есть идея создать что то музыкальное, мейби собрать бэнд или хор, потому что у нас есть все спортивное, но если бы была бы возможность устроить что то пассивное, для души:)  какой то музыкальный кабинет, разбавить обстановку творческой-музыкальной ноткой💐",Подумаем,Q3 2025
Даурен ,"Здравствуйте! Спасибо за спанч боб и возможность быть услышанным. Подскажите, пожалуйста, как сохранять эффективность в работе если за последние 6 месяцев у команды сменилось 5 руководителей и грядет 3 переезд в другой кабинет? В компании действительно делается много плюшек для сотрудников, это правда очень ценно, спасибо. Но возможно, не так важны завтраки, как возможность работать в здоровой и психологически комфортной среде","Нужно смотреть, что конкретно напрягает. Относиться с позитивом. Придет тот, что возглавит и залидит, немного надо потерпеть",Q3 2025
Даурен ,"Здравствуйте! Хотелось бы уточнить настолько ли важно, чтобы у каждого директора был отдельный кабинет, особенно сейчас - когда для других сотрудников не хватает места, и все вынуждены переезжать по несколько раз? В целом учитывается ли насколько быстро растут команды (есть ли ресурсные карты), чтобы качественно подойти к планированию места в офисе?","Кабинеты для директоров важны, так как много совещаний. ",Q3 2025
Даурен ,"Здравствуйте!
Вопрос с переездами в 7G уже очень утомил, никакого процесса, сначала всё все перетаскивают потом думают как поставить и снова всё переставляют, нет никакой организации из-за чего страдают рабочие процессы. Переезд порой затягивается на пару дней..не говоря уже о том что размеры кабинетов не соответствуют количеству человек в командах, которые в них сидят
Складывается впечатление, что внешним бонусам и плюшкам отдается больше приоритетов, чем организации рабочего пространства и рабочего графика, что на мой взгляд все таки первичнее ","Уделяем достаточно времени, что бы создать все комфортные условия. Это лучший офис, который когда-либо был у компании",Q3 2025
Даурен ,"Добрый день!
Офис менеджер 11 этажа, вы самая лучшая!! Рахмет за поддержку. ",Спасибо,Q3 2025
АХО,"Если есть возможность, разделить намазхану на жен и муж. Все читают намаз в обеденный перерыв и часто не успеваем прочитать в перерыве из за очереди.  Плюс было бы классно туда добавить кондер","Есть решение, будет разделение.",Q3 2025
Даурен ,"HR - корп культура:

- Нужно усиление HR команды. Сотрудники неверно понимают фразу ""Главное люди"". Либо нужно изменить эту ценность типа ""принимая - отдавай"". Сейчас работает только ""принимай""

- Есть определенные ""старички"" в сговоре, которые проявляют токсичность. Все вместе могут топить, обесценивать тех, кто пытается что то делать. Сговор очень сильно ощущается, потому что одни и те же люди в моменте могут проявлять активность для публичного обесценивания - в одим и тот же час, например. И тот кто пытается что то сделать, выгорает. Возможно это для этого и делается, чтобы тот человек, который что то делает - выгорел и ушел, чтобы потом можно было жить как раньше. Как в школе, когда приходит новый учитель, его в начале пытаются подстроить под свои правила. Если не вышло - довести, чтобы ушел. 
Обычно в корп культуру закладывается вариант, что сразу сделать идеально невозможно. Делается версия 1.0, потом улучшается до версии 2.0 итд.  У нас же в версии 1.0 ""бьют по рукам"", идут все дружно обесценивать, говорить не выйдет, не получится решить, зачем надо было делать так, вы не компетентны  итд. Потом тому кто пытается что то изменить, страшно делать версию 2.0

- старички могут прямо или косвенно просить не обращаться, не дергать, потому что ""я исполнитель"". Типа подойдете как сделаете. Но как сделается, дают комментарий, что надо было по другому, что они знают как лучше, то есть нужен идеальный вариант, но я не дам вводные данные - догадайся сам

Итог: токсичность заразна и быстро распространяется. Нужен HR, который исключит источник токсичности. Мне источник неизвестен ","У нас ожидается объединение всех HR. Во главе будет человек, который надеюсь сможет решить эти вопросы и будет эффективно в работе. Нужна конкретика по ситуации токсичности",Q3 2025
Битркис,"в пропипл не хватает разработчиков. Сейчас все начали активно внедрять СРМ, задач много. 2 разработчика это очень мало. Плюс в пропипл нужен тестировщик, который перед тем как закрыть задачу, протестирует исполнение. Часто задачи закрываются разработчиком, а там внутри есть много ошибок и недоработок ",Возьмем в работу,Q3 2025
Event ,провести соревенование по подтягиваниям на турнике,Проведем,Q3 2025
Даурен,"Рассмотреть вариант добавления ""новой плюшки"": чтобы у сотрудника было 4-6 оплачиваемых дней в году, в которые он мог бы взять выходной чтобы решить неотложные дела по дому, хозяйству, банкам и прочее",Не будет,Q3 2025
АХО,Можно ли на парковке для самокатов на улице установить козырёк и возможно ли как-то установить розетки для того чтобы можно было зарядить самокат? ,Есть козырек,Q3 2025
Даурен,"Здравствуйте!
Мы быстроразвивающаяся компания и это круто, но часто в работе появляются ситуации мискоммуникации. Например, когда открывается один функциональный департамент со своими задачами, затем его переформировывают и дают новые задачи. А старые задачи никому никак не передаются, и часто просто довеском скидываются на других сотрудников (с близким функционалом) по умолчанию, что приводит к перегрузке и переработкам сотрудников, которые изначально не имели никакого отношения к этим задачам. Можно ли регламентировать процессы передачи дел компании с назначением ответственных лиц, с согласием всех задействованных лиц, чтобы подобные ситуации не фрустрировали и не нарушали рабочих процессов?
Спасибо за возможность задавать вам вопросы, надеюсь на улучшение по данному вопросу",Возьмем в работу,Q3 2025
